shieldcharacter,attackcharacter,movehitbox,charmovehitbox,shieldadvantage,shieldadvantageforcalculation,correctstartup,correctrow,randomrow1,randomrow2,randomrow3,totalnumberofchoices,correct,randomchoice1,randomchoice2,randomchoice3,choiceA,choiceB,choiceC,choiceD,correctindex,explanation,Column 1
Mario,Mario,Nair (Early Hit),Mario Nair (Early Hit),-2,2,0,1,3,10,6,10,No Guaranteed Punish,F Smash,Up Smash (final hitbox),Up B,No Guaranteed Punish,F Smash,Up Smash (final hitbox),Up B,A,Move is -2 on shield. Mario does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Mario,Mario,Nair (Late Hit),Mario Nair (Late Hit),-3,3,3,2,6,5,7,10,Up B,Nair,No Guaranteed Punish,Ftilt/Up Tilt/Dtilt/Down Smash,Up B,Nair,Ftilt/Up Tilt/Dtilt/Down Smash,No Guaranteed Punish,A,Move is -3 on shield. Up B comes out on frame 3.,1.0
Mario,Mario,Fair (Early Hit),Mario Fair (Early Hit),-12,12,12,6,8,9,2,10,Up Smash (final hitbox),Ftilt/Up Tilt/Dtilt/Down Smash,Nair,Shield Grab,Nair,Up Smash (final hitbox),Ftilt/Up Tilt/Dtilt/Down Smash,Shield Grab,B,Move is -12 on shield. Up Smash (final hitbox) comes out on frame 12.,1.0
Mario,Mario,Bair,Mario Bair,-2,2,0,1,9,8,7,10,No Guaranteed Punish,Up Smash (final hitbox),F Smash,Ftilt/Up Tilt/Dtilt/Down Smash,No Guaranteed Punish,Up Smash (final hitbox),F Smash,Ftilt/Up Tilt/Dtilt/Down Smash,A,Move is -2 on shield. Mario does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Donkey Kong,Mario,Nair (Early Hit),Mario Nair (Early Hit),-2,2,0,1,5,13,6,14,No Guaranteed Punish,Dash Attack,Up B (Ground),Ftilt,Dash Attack,No Guaranteed Punish,Ftilt,Up B (Ground),B,Move is -2 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Donkey Kong,Mario,Nair (Late Hit),Mario Nair (Late Hit),-3,3,0,1,10,11,3,14,No Guaranteed Punish,Jab/Up Tilt,Up B (Ground),Shield Grab,Jab/Up Tilt,Shield Grab,Up B (Ground),No Guaranteed Punish,D,Move is -3 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Donkey Kong,Mario,Fair (Early Hit),Mario Fair (Early Hit),-12,12,11,2,6,12,3,14,Shield Grab,Down B (Ground),Up B (Ground),Ftilt,Ftilt,Shield Grab,Down B (Ground),Up B (Ground),B,Move is -12 on shield. Shield Grab comes out on frame 11.,1.0
Donkey Kong,Mario,Bair,Mario Bair,-2,2,0,1,12,3,10,14,No Guaranteed Punish,F Smash,Jab/Up Tilt,Up B (Ground),Up B (Ground),No Guaranteed Punish,F Smash,Jab/Up Tilt,B,Move is -2 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Mario,Nair (Early Hit),Mario Nair (Early Hit),-2,2,0,1,3,11,4,11,No Guaranteed Punish,Dair,Dash Attack,Down Smash/Up Tilt (Latest Hit),Dash Attack,Dair,No Guaranteed Punish,Down Smash/Up Tilt (Latest Hit),C,Move is -2 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
Link,Mario,Nair (Late Hit),Mario Nair (Late Hit),-3,3,0,1,10,9,6,11,No Guaranteed Punish,Dair,F Smash,Fair,F Smash,No Guaranteed Punish,Fair,Dair,B,Move is -3 on shield. Link does not have a fast enough out of shield option to get a guaranteed punish.,1.0
